species	cancer_type	correlation
Alouatta_palliata	liver	0.46258384628779
Alouatta_palliata	lung	0.614330700011488
Alouatta_palliata	lymphoma	0.555216712384415
Alouatta_palliata	melanoma	0.619844469337829
Alouatta_palliata	mesothelioma	0.782073359327341
Alouatta_palliata	oesophagus	0.553186609622828
Alouatta_palliata	other tumour types	0.635538231542761
Alouatta_palliata	ovarian	0.582739044421183
Alouatta_palliata	paediatric	0.539883192094461
Alouatta_palliata	pancreas	0.601791776333125
Alouatta_palliata	prostate	0.564192443135754
Alouatta_palliata	rare other tumour types	-0.136026652730854
Alouatta_palliata	renal	0.553840826104628
Alouatta_palliata	sarcoma	0.572139904993283
Alouatta_palliata	skin	0.656721428535749
Alouatta_palliata	small intestine	0.625033677237846
Alouatta_palliata	soft tissue sarcoma	0.350612148576275
Alouatta_palliata	testicular	0.594193902871492
Alouatta_palliata	thyroid	0.581992246369179
Alouatta_palliata	urothelial	0.631549863829787
Alouatta_palliata	uterine	0.522106086853102
Ammotragus_lervia	all	0.214399721809079
Ammotragus_lervia	bladder	0.247541948756641
Ammotragus_lervia	breast	0.183849490427573
Ammotragus_lervia	central nervous system	0.198710879960352
Ammotragus_lervia	colon	0.226290535994125
Ammotragus_lervia	colorectal	0.228055364499464
Ammotragus_lervia	endometrial	0.16327469966723
Ammotragus_lervia	gastric	0.207982834279871
Ammotragus_lervia	glioma	0.210970598228224
Ammotragus_lervia	head and neck	0.229723140716851
Ammotragus_lervia	hepatocellular	0.236018060470125
Ammotragus_lervia	intestine	0.198050188955423
Ammotragus_lervia	kidney	0.289790924067757
Ammotragus_lervia	leukaemia	0.139237971537117
Ammotragus_lervia	liver	0.276497253623231
Ammotragus_lervia	lung	0.275073503386988
Ammotragus_lervia	lymphoma	0.206319950712161
Ammotragus_lervia	melanoma	0.254684915053422
Ammotragus_lervia	mesothelioma	0.217722412349732
Ammotragus_lervia	oesophagus	0.158883622903427
Ammotragus_lervia	other tumour types	0.255768615807925
Ammotragus_lervia	ovarian	0.215183525184711
Ammotragus_lervia	paediatric	0.326469207742015
Ammotragus_lervia	pancreas	0.18785592213154
Ammotragus_lervia	prostate	0.177732309211839
Ammotragus_lervia	rare other tumour types	-0.247542872743003
Ammotragus_lervia	renal	0.138529723429737
Ammotragus_lervia	sarcoma	0.218774854939236
Ammotragus_lervia	skin	0.153316298013754
Ammotragus_lervia	small intestine	0.250225494850489
Ammotragus_lervia	soft tissue sarcoma	0.234228920694591
Ammotragus_lervia	testicular	0.067622854949967
Ammotragus_lervia	thyroid	0.259540604001635
Ammotragus_lervia	urothelial	0.192306522918943
Ammotragus_lervia	uterine	0.19992328040583
Anoura_caudifer	all	0.21155623169948
Anoura_caudifer	bladder	0.235763884459751
Anoura_caudifer	breast	0.185150441876127
Anoura_caudifer	central nervous system	0.174165505488327
Anoura_caudifer	colon	0.218484458833991
Anoura_caudifer	colorectal	0.216957751609158
Anoura_caudifer	endometrial	0.150398054439381
Anoura_caudifer	gastric	0.178614479481348
Anoura_caudifer	glioma	0.243248850462433
Anoura_caudifer	head and neck	0.200803944172868
Anoura_caudifer	hepatocellular	0.201589244719328
Anoura_caudifer	intestine	0.181821545537842
Anoura_caudifer	kidney	0.22639886216472
Anoura_caudifer	leukaemia	0.136432510018418
Anoura_caudifer	liver	0.218738707425787
Anoura_caudifer	lung	0.263768399654388
Anoura_caudifer	lymphoma	0.189987727404699
Anoura_caudifer	melanoma	0.266119804656949
Anoura_caudifer	mesothelioma	0.378104197462113
Anoura_caudifer	oesophagus	0.119893804949774
Anoura_caudifer	other tumour types	0.287589220309345
Anoura_caudifer	ovarian	0.202039563891529
Anoura_caudifer	paediatric	0.342146685597657
Anoura_caudifer	pancreas	0.187671391605612
Anoura_caudifer	prostate	0.16828973068018
Anoura_caudifer	rare other tumour types	-0.0398697370258642
Anoura_caudifer	renal	0.149819850329813
Anoura_caudifer	sarcoma	0.23689283051415
Anoura_caudifer	skin	0.189034616448181
Anoura_caudifer	small intestine	0.198949151823295
Anoura_caudifer	soft tissue sarcoma	0.125035638844148
Anoura_caudifer	testicular	0.199171416039195
Anoura_caudifer	thyroid	0.258497301200364
Anoura_caudifer	urothelial	0.252973831347478
Anoura_caudifer	uterine	0.170363161698346
Antilocapra_americana	all	0.211323636949145
Antilocapra_americana	bladder	0.228929834141407
Antilocapra_americana	breast	0.177365923819058
Antilocapra_americana	central nervous system	0.167413798026775
Antilocapra_americana	colon	0.244256229312766
Antilocapra_americana	colorectal	0.217368037868492
Antilocapra_americana	endometrial	0.16121884429716
